Lepotička posebnih barv TWIGI,"Twigi je cca. 4 mesece stara muca, cepljena, čipirana, testirana na mačje bolezni (negativna) in sterilizirana. Je zelo prijazna,",Podarim
Mala mucka LISA cepljena in sterilizirana,"Lisa je približno 3 mesece strara tigrasta mucka, cepljena, čipirana, testirana na mačje bolezni (negativna) in bo ob odhodu",Podarim
Črna lepotička PEARL cepljena in sterilizirana,"Pearl je prijazna in crkljiva muca stara cca. 10 mesecev, za katero iščemo notranje-zunanji dom stran od prometnih cest,",Podarim
Mucka MIŠA cepljena in sterilizirana,"Miša je cca 3 mesece stara mucka, cepljena, čipirana, testirana na mačje bolezni (negativna) in bo ob oddaji sterilizirana.",Podarim
Mucek JERRY cepljen in kastriran,"Jerry je cca 3 mesece star mucek, cepljen, čipiran, testiran na mačje bolezni (negativen) in bo ob oddaji kastriran. Je zelo",Podarim
KARTUZIJKA - kartuzijska mačka - britanka - perzijka,"Na voljo imamo Kartuzijske mladičke, na razpolago imamo dva samčka in dve samički.
Mucki so večkrat razgliščeni ter veterinarsko","250,00 €"
Podarim mucka,"Prikupni Tito je zelo crkljiv mucek, navajen notranjega bivanja.
Rad ima otroke in druge živali (psi in druge mačke)
Podarim",Podarim
BRITANSKA MAČKA / BRITANKA,"Nov ljubeč domek iščemo še za eno britančico, čudovite barve. Za oddajo že primerna. Je zelo nežna, prikupna, predvsem pa","300,00 €"
mucke,"podarim 4 mucke : 2 siva,crni in crno beli.
Mama je zelo dober lovec
Okolica Lenarta-Voličina
info 041 220 446",Podarim
"Oddamo mucko: VILI, samček","Datum prihoda: 02.10.2016

				VILI
		Spol: samček
		Starost ob prihodu: 4 mesece
		Kontakt: info@macjahisa.si, 040 937 959

		
Vili																				</div>",Podarim
Mucki,Skrbnim in odgovornim ljubiteljem živali podarimo mlade muce - sivo tigrastega samčka in samičko in črno samičko z belo liso,Podarim
Mucki potrebujeta dom,Skrbnim in ljubečim ljudem oddamo samički. Sta navajeni na notranji (in zunanji) prostor.,Podarim
Mucke,"Tri male mucke (dva samčka in samička), stare 6 mesecev iščejo nov dom. Mucke so vajene otrok, zato so primerne tudi za družine.",Podarim
muc Lan,"Prelep in nežen pogled, skrbno negovan kožušček in dolgi beli brkci. To je super muc LAN, s čudovitim karakterjem. V družbo",Po dogovoru
muca Lina,"Prijazna, nežna, z izredno mehkim črno belim kožuščkom in prelepimi očmi. To je LINA. Pridna mucka, tiha, ljubezniva, predvsem",Po dogovoru
Filip in Maks,"Filip in Maks sta bratca ki iščeta po možnosti skupen, topel dom. Odrasla, dokaj mirna mačkona, ki sta sprva nekoliko sramežljiva,",Po dogovoru
Podarim 4 muce,"Podarim 4 male muce. So dolgodlake.
Kontakt:  031349187",Podarim
Male mucike,"Mladi, igrive mucike čakajo na nove lastnike. 
Tel.: 03 5827 254
mob.: 070 702 255",Podarim
Exot (kratkodlaka perzijka),"Naprodaj imamo mlade mucke pasme exot-kratkodlaka perzijka. na dom čakajo 4 punčke in 1 fantek.So popolnoma sobno čiste,uporabljajo",Po dogovoru
Britanka britanska mačka,V sredini oktobra bodo naše male britanke dopolnile 3 mesece. Takrat lahko gredo v nove domove. Na razpolago imamo 1 punčko,Po dogovoru
Puhasti Nishe (DZZŽ Kranj),"Nishe je star 3 mesece in je v celoti veterinarsko oskrbljen. Je prijazen in scrkljan muc. Zelo rad se boža in zaprede takoj, ko zagleda človeka. Je sobno",Po dogovoru
Mlade mucke!,"3 mlade mucke, 2 tigrasti in 1 črna, iščejo nov dom. Vajene so zunanjega življenja, vendar se mladički hitro privadijo na nov dom. Potrebujejo nežno roko","3,00 €"
RAGDOLL mladiči,"Za v nov dom bosta kmalu pripravljena samička in en samček pasme RAGDOLL.Mladička bosta do odhoda večkrat razglistena, navajena na mačji wc, socializirana,","290,00 €"
Sem dolgodlaki črn mucek in kratkodlaka peščena mucka,"Sva bratec in sestrica. Sva zelo igriva, navajena vse hrane. Najraje pa se cartava. Dobila sva ampulo za notranje in zunanje zajedalce. To pomeni da sva","15,00 €"
Podarim 2 mucki,Podarim 2 mucki zelo lepi. Slike pošlem po MMS-u 041965061,Podarim
Podarim mlade mucke,"Podarim mlade tigraste mucke, so zelo zdravi, igrivi, ter vajeni življenja zunaj in notri. Več info na 051671003",Podarim
britanka / britanska - mladički,na voljo novo leglo prekrasnih britančkov. na razpolago 5 samčkov ter 3 samičke. en samček je lila barve. možen ogled ter izbira mucka pri nas. pripravljeni,"370,00 €"
Oddam muceka,"Oddam muca je zelo prijazen se rad crklja, star je 3mesece 040637638 alenka",Podarim
Maine coon,Madiči obeh spolov cepljeni vet pregledani oba starša imamo doma.Na slikah naši mladići in starša.068 649 892 Na vseh slikah so nasi mucki.,Po dogovoru
Podarimo 3 muce,"Podarimo 3 muce, stare 5 mesecev. Več informacij na 041/382-854, Aleš.",Podarim
Nujno podarim,"Oddam muca Tomija starega 3 leta, kastriran, čipiran, cepljen, čist (živel samo v stanovanju), navajen otrok in zelo prijazen.Nujno! Podarim zaradi selitev.",Podarim
Prikupna Eva in Bučman (DZZŽ Kranj),"Skupen ‘za vedno dom’ in pripadajočo ljubečo družinico iščeta prijazna mucka Eva in Bučman, štirimesečna bratec in sestrica, ki sta močno močno navezana",Po dogovoru
mladi mucki,"Čez približno en mesec bodo na voljo mladi mucki za oddajo. Želim jih oddati res skrbnim lastnikom. Več podatkov dobite na tel. št. 01/7227-500, Olga.",Podarim
Scrkljana Gardy (DZZŽ Kranj),"Gardy je stara 3 mesece in je v celoti veterinarsko oskrbljena. Je scrkljana muca, ki se rada boža in zaprede samo, da zagleda človeka. Je prijazna in",Po dogovoru
Mucka Živa (DZZŽ Kranj),"Živa je mačja mladička, stara 3 mesece. Pobrana je bila na odstavnem pasu avtoceste in bila rešena, tik preden bi jo povozilo. Zaradi svoje izkušnje je",Po dogovoru
Prikupni mačji princeski Olivia in Yodi (DZZŽ Kranj),"Olivia in Yodi sta mali mačji princeski, stari 3 mesece. Karakterno sta sproščeni, ekstra socializirani, igrivi, prisrčni, prijazni in crkljivi mačji mladički,",Po dogovoru
Nagajiva mala Chloe (DZZŽ Kranj),"Chloe je stara 3 mesece in je v celoti veterinarsko oskrbljena. Je prijazna in scrkljana muca, ki bi se non stop božala in zato je človeku vedno za petami.",Po dogovoru
Nagajivi in igrivi mali Max (DZZŽ Kranj),"Max je star 3 mesece in je v celoti veterinarsko oskrbljen. Je igriv muc, ki je veliko časa v gibanju in se igra z drugimi mački. Človeku ob njem nikoli",Po dogovoru
Prijazna Goldy (DZZŽ Kranj),"Goldy je stara 3, 5 mesecev in je v celoti veterinarsko oskrbljena. Je prijazna in razigrana muca. Rada se boža in ves čas prede. Je sobno čista in pridno",Po dogovoru
Mačja dama Miša (DZZŽ Kranj),"Miša je v celoti veterinarsko urejena. Je že umirjena muca, ki ne uničuje več stvari in že razume česa ne sme. Je scrkljana in rada se boža. Je pridna",Po dogovoru
Mali črni panter Mihec in puhasti Bacci (DZZŽ Kranj),"Mihec je mali črni panter, nezahteven, nemoteč in nevsiljiv, skoraj neopazen muc, dokler se tiho ne prikrade v naročje in ob vztrajnem božanju prav nežno",Po dogovoru
Igriva cartasta Neja z repkom kot antenca (DZZŽ Kranj),"Mala Neja je živahna, po izgledu čudovita, po karakterju prijetno prismuknjena in izredno prijazna mucka z zelo zdravim apetitom : ) . Bila je najmanjša",Po dogovoru
Lepa mala Ariella (DZZŽ Kranj),"Ariella je razigran mačji otrok, poln energije in dobre volje, ko se utrudi, pa postane prava crkljivka. Pridno uporablja mačji wc in je nasploh zelo pridna",Po dogovoru
Čudežna pisana Dašenka (DZZŽ Kranj),Mala pisana Dašenka je bila potegnjena praktično izpod kosilnice ob eni najbolj prometnih ljubljanskih cest v času jutranje prometne gneče. Nekaj časa,Po dogovoru
Mali črni panter Liam (DZZŽ Kranj),"Liam je mali mačji črni panter, star 3 mesece. Zelo rad ima ljudi in je izjemno družaben. Če je le mogoče se namontira v naročje. Zelo rad pa tudi pomaga",Po dogovoru
Prikupna nežna Nur (DZZŽ Kranj),"Nur je prikupna nežna tigričica, stara 3 mesece, ki išče bližino človeka na vsakem koraku. Rada poležava in se crklja. Ko je spočita pa uganja vragolije",Po dogovoru
Crkljiva črnuhica Cici (DZZŽ Kranj),"Cici je medvedkasto luštna mucka, črno srebrne barve. Je prijazna, igriva, nekonfliktna in crkljiva mucka stara 3 mesece. Je sobno čista in pridno uporablja",Po dogovoru
Luštna črno srebrna lepotička Lina (DZZŽ Kranj),"Lina je medvedkasto luštna črnuhica. Je prijazna, igriva, nekonfliktna in crkljiva mucka stara 3 mesece. Je sobno čista in pridno uporablja mačji wc. Z",Po dogovoru
Cartljivec Bacardi (DZZŽ Kranj),"Bacardi je mačji mladič, star 6 mesecev. Je izredno živahen, prijazen, igriv in cartljiv muc, ki se rad pogovarja. Rad se zabava s svojo najboljšo prijateljico",Po dogovoru
Mehka Casali (DZZŽ Kranj),"Casali je mlada muca, stara 6 mesecev. Je izredno živahna, prijazna, igriva in cartljiva muca, ki se rada stisne v naročje. Rada se zabava s svojim najboljšim",Po dogovoru
"Mala, predoča Janis (DZZŽ Kranj) Cena: Po dogovoru","Mala Janis je trimesečna mucka, ki je bila najdena popolnoma shirana in premražena v vasi na Gorenjskem. S skrbno nego se je počasi poredila in pozdravila",Po dogovoru
Prijazna India išče dom z varnimi izhodi v okolje (DZZŽ Kr),"Čisto bela mucka India je bila skupaj z dvema mladičkoma in muckom Iggyjem najdena na območju Besnice, kjer je že dolga leta odlagališče živali. Po karakterju",Po dogovoru
Igrivi Iggy išče dom z varnimi izhodi v okolje (DZZŽ Kranj),"Črno beli Iggy je bil skupaj z dvema mladičkoma in mucko Indio najden na območju Besnice, kjer je že dolga leta odlagališče živali. Po karakterju je crkljiv,",Po dogovoru
Mucka Maca,"Pomagamo pri oddaji – mucka MACA Prijazna muca, sterilizirana in zdrava, išče skrben in varen dom, kjer ji bodo omogočili varne zunanje izhode. Če bi ji",Po dogovoru
Britanske mačke - britanke,"Prodam leglo britanskih muck, na voljo so samčki in samičke, oba starša imamo doma, kjer si jih lahko tudi ogledate, mucki bodo pred odhodom cepljeni,",Po dogovoru
Podarim mlado muco,Podarimo mlado muco. Navajena je na hišo in dvorišče. Je zelo prijazna. Zainteresirani in ljubitelji živali pokličite na tel: 041 243 323 ( Magda) ali,Podarim
"Oddamo mucko: PIKI, samček","Datum prihoda: 10.09.2016 PIKI Spol: samček Starost ob prihodu: 1 leto Kontakt: info@macjahisa.si, 040 937 959 Piki je prijazen in na ljudi navezan muc,																				</div>",Podarim
"Oddamo mucko: ALICA, samička","Datum prihoda: 01.10.2016 ALICA Spol: samička Starost ob prihodu: 5 mesecev Kontakt: info@macjahisa.si Alica je muca, ki z ljudmi sicer sobiva, ni pa (še)																				</div>",Podarim
"Oddamo mucko: KENNY, samček","Datum prihoda: 01.10.2016 KENNY Spol: samček Starost ob prihodu: 5, 5 mesecev Kontakt: info@macjahisa.si, 040 937 959 Kenny je razigran, prijazen muc,																				</div>",Podarim
"Oddamo mucko: DIDI, samička","Datum prihoda: 01.10.2016 DIDI Spol: samička Starost ob prihodu: 4 mesece Kontakt: info@macjahisa.si, 040 937 959 Didi je radovedna, igriva mucka, vajena																				</div>",Podarim
"Oddamo mucko: NEMO, samček","Datum prihoda: 01.10.2016 NEMO Spol: samček Starost ob prihodu: 4 mesece Kontakt: info@macjahisa.si, 040 937 959 Nemo je prijazen, igriv mucek z raziskovalno																				</div>",Podarim
"Oddamo mucko: KAI, samček","Datum prihoda: 01.10.2016 KAI Spol: samček Starost ob prihodu: 4 mesece Kontakt: info@macjahisa.si, 040 937 959 Kai je navihan, razigran muc, ki se v mačji																				</div>",Podarim
"Oddamo mucko: STEFFI, samička","Datum prihoda: 01.10.2016 STEFFI Spol: samička Starost ob prihodu: 4 mesece Kontakt: info@macjahisa.si, 040 937 959 Steffi je prijazna, razigrana mucka,																				</div>",Podarim
"Oddamo mucko: JUAN in GARCIA, samček","Datum prihoda: 01.10.2016 JUAN in GARCIA Spol: samček Starost ob prihodu: 4, 5 mesecev Kontakt: info@macjahisa.si Juan in Garcia sta prijazna, cartljiva																				</div>",Podarim
MUCKA PANDI IŠČE DOM,"Le še mucka Pandi je ostala, vse njene sestrice so že našle dom. Stara okrog štiri mesece, čipirana in sterilizirana. Nahaja se v Litiji in se oddaja za",Podarim
Mucke za oddajo (posamično ali skupaj),"Oddajam oziroma podarim mucke, ki jih lahko vidite na slikah. Mucke so prijazne, čiste, navajene življenja v stanovanju. Pokličite na 040-205-567",Podarim
BRITANKA &amp; MAINE COON mladički- kratko in dolgodlaki mucki,Letošnje poletje smo dočakali prav posebno mačje leglo. Mamica BRITANSKA MUCKA in oče MAINE COON sta postala starša sedmim navihanim mačjim mladičkom.,"50,00 €"
MAINE COON-AMERIŠKA GOZDNA DOLGODLAKA MAČKA mladički mešanci,"Naša MAINE COONKA si je pred nekaj meseci dovolila malo daljši sprehod po vasi, kjer si je našla ženina. Rezultat njenega pohajkovanja je pet malih muckov,","40,00 €"
Muc išče ljubeč dom,"Skrbnim lastnikom oddamo čudovitega samčka. Je zelo čist, malenkost plah, star nekje 6 mesecev in rešen pred smrtjo zaradi izstradanja. Muc bo tudi kastriran.",Podarim
Prisrčno mlado mucko oddamo v dobre roke,"Črno belo mucko, staro tri mesece, podarimo. Mucka je zdrava, igriva, samostojno je in zna uporabljati pesek. Smo iz Maribora. pokličite 040 228 040.",Podarim
